timestamp,pitch,roll,yaw,x,y,z
17921,-0.2496,0.0223,-1.3595,-0.1438,-0.1438,-0.9539
17942,-0.2829,0.0256,-1.4095,-0.1570,-0.1570,-0.9209
17962,-0.3073,0.0236,-1.4620,-0.1589,-0.1589,-0.8579
17982,-0.3236,0.0151,-1.5126,-0.0769,-0.0769,-0.9248
18002,-0.3334,0.0057,-1.5637,-0.0649,-0.0649,-1.0999
18022,-0.3394,-0.0012,-1.6190,-0.0579,-0.0579,-1.0249
18043,-0.3442,-0.0090,-1.6740,-0.0488,-0.0488,-0.8968
18063,-0.3491,-0.0177,-1.7232,-0.0188,-0.0188,-0.8780
18083,-0.3545,-0.0250,-1.7672,-0.0129,-0.0129,-0.9568
18103,-0.3608,-0.0290,-1.8090,-0.0198,-0.0198,-0.9400
18123,-0.3691,-0.0311,-1.8489,-0.0339,-0.0339,-0.8948
18144,-0.3797,-0.0323,-1.8876,-0.0488,-0.0488,-0.8548
18164,-0.3920,-0.0339,-1.9248,-0.0569,-0.0569,-0.8609
18184,-0.4048,-0.0355,-1.9605,-0.0679,-0.0679,-0.8780
18204,-0.4182,-0.0365,-1.9942,-0.0618,-0.0618,-0.9058
18224,-0.4321,-0.0359,-2.0275,-0.0759,-0.0759,-0.9219
18245,-0.4467,-0.0339,-2.0608,-0.0840,-0.0840,-0.8799
18265,-0.4614,-0.0321,-2.0920,-0.0740,-0.0740,-0.8179
18285,-0.4746,-0.0306,-2.1183,-0.0220,-0.0220,-0.8338
18305,-0.4857,-0.0282,-2.1401,-0.0020,-0.0020,-0.9229
18325,-0.4944,-0.0232,-2.1614,0.0049,0.0049,-0.9019
18346,-0.5020,-0.0188,-2.1801,0.0198,0.0198,-0.8318
18366,-0.5090,-0.0160,-2.1956,0.0349,0.0349,-0.8018
